Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,orig_index,id,created_at
a person pretending to be from windows that tried to scam me so i was just on my computer when i got a call saying so i answered it and he said that i had an issue with my computer and for him to fix he would tell me what to do but he said i had to pay him 500 and then i realize,9,9_microsoft_windows_microsoft support_support,"['microsoft', 'windows', 'microsoft support', 'support', 'computer', 'pc', 'microsoft techsupport', 'vm', 'tried', 'techsupport']","['microsoft tech_support scam 12 20 19', 'microsoft scammer fake microsoft support', 'microsoft support scam']",microsoft - windows - microsoft support - support - computer - pc - microsoft techsupport - vm - tried - techsupport,1.0,False,65853,52773,2019-12-31 23:13:32
popup scam they are the dumbest,10,10_popup_image_popup microsoft_microsoft popup microsoft,"['popup', 'image', 'popup microsoft', 'microsoft popup microsoft', 'png', 'popup microsoft popup', 'microsoft', 'microsoft popup', 'screenshot', 'image screenshot']","['microsoft popup scam link', 'dating app chat image screenshot 135517png png image screenshot 135526png png', 'romance scammer jean image screenshot 115148png png image screenshot 115156png png']",popup - image - popup microsoft - microsoft popup microsoft - png - popup microsoft popup - microsoft - microsoft popup - screenshot - image screenshot,1.0,False,65854,52772,2019-12-31 22:45:56
medical alert tell them taylor swift sent you they ll die from laughter,-1,-1_student_loan_student loan_got,"['student', 'loan', 'student loan', 'got', 'fake', 'support', 'free', 'just', 'voicemail', 'apple']","['student loan scam so i got a voicemail from sarah the message is as follows hi my name is sarah i ve been trying to reach you regarding your federal student loans your loan has been flagged for forgiveness approval which could eli', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains']",student - loan - student loan - got - fake - support - free - just - voicemail - apple,0.5895197150876303,False,65855,52771,2019-12-31 22:28:02
tech scam whenever they don t answer its really funny and try to get ram get the phone,6,6_techsupport_techsupport techsupport_tech_active,"['techsupport', 'techsupport techsupport', 'tech', 'active', 'nginx', 'ha', 'india', 'techsupport techsupport techsupport', 'isoftwareshop', 'indian']","['fake mcafee support scammer from india geek kart com innovative sale vizpc com isoftwareshop com alphasaleweb com thanks my indian friend monis for his help i got these fro', 'heeeey yooooou guuuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin', 'heeeey youuuu guuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin']",techsupport - techsupport techsupport - tech - active - nginx - ha - india - techsupport techsupport techsupport - isoftwareshop - indian,1.0,False,65856,52770,2019-12-31 22:16:24
tech_support scam i wasted a lot of his time,6,6_techsupport_techsupport techsupport_tech_active,"['techsupport', 'techsupport techsupport', 'tech', 'active', 'nginx', 'ha', 'india', 'techsupport techsupport techsupport', 'isoftwareshop', 'indian']","['fake mcafee support scammer from india geek kart com innovative sale vizpc com isoftwareshop com alphasaleweb com thanks my indian friend monis for his help i got these fro', 'heeeey yooooou guuuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin', 'heeeey youuuu guuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin']",techsupport - techsupport techsupport - tech - active - nginx - ha - india - techsupport techsupport techsupport - isoftwareshop - indian,1.0,False,65857,52769,2019-12-31 21:17:24
windows support scammer call this is a fake windows support scammer,9,9_microsoft_windows_microsoft support_support,"['microsoft', 'windows', 'microsoft support', 'support', 'computer', 'pc', 'microsoft techsupport', 'vm', 'tried', 'techsupport']","['microsoft tech_support scam 12 20 19', 'microsoft scammer fake microsoft support', 'microsoft support scam']",microsoft - windows - microsoft support - support - computer - pc - microsoft techsupport - vm - tried - techsupport,1.0,False,65858,52768,2019-12-31 20:57:57
freeway insurance,8,8_insurance_health_warranty_car,"['insurance', 'health', 'warranty', 'car', 'company', 'pills', 'health insurance', 'sell', 'keto', 'gohealth']","['high value insurance scam three automated messages from an issam hiring manager at family first life saying he got my application for a high value insurance policy on craigslist has been calling my desk phone at work and i don t use craigsli', 'health insurance scam', 'this is a shady car insurance company called protect my car offering free roadside assistance and 100 car maintenance coverage and insurance for 50 bucks a month plus a flexible down payment fee wh']",insurance - health - warranty - car - company - pills - health insurance - sell - keto - gohealth,0.7530666349132525,False,65859,52767,2019-12-31 19:58:05
donald trump signs new robocall act into law it boosts the fines and adds new criminal liabilities on to those making the calls,-1,-1_student_loan_student loan_got,"['student', 'loan', 'student loan', 'got', 'fake', 'support', 'free', 'just', 'voicemail', 'apple']","['student loan scam so i got a voicemail from sarah the message is as follows hi my name is sarah i ve been trying to reach you regarding your federal student loans your loan has been flagged for forgiveness approval which could eli', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains']",student - loan - student loan - got - fake - support - free - just - voicemail - apple,0.6257583829882227,False,65860,52766,2019-12-31 19:32:41
choicehomewarranty com scam choice home warranty based in edison nj website choicehomewarranty com phone number or,8,8_insurance_health_warranty_car,"['insurance', 'health', 'warranty', 'car', 'company', 'pills', 'health insurance', 'sell', 'keto', 'gohealth']","['high value insurance scam three automated messages from an issam hiring manager at family first life saying he got my application for a high value insurance policy on craigslist has been calling my desk phone at work and i don t use craigsli', 'health insurance scam', 'this is a shady car insurance company called protect my car offering free roadside assistance and 100 car maintenance coverage and insurance for 50 bucks a month plus a flexible down payment fee wh']",insurance - health - warranty - car - company - pills - health insurance - sell - keto - gohealth,0.6287059887614849,False,65861,52764,2019-12-31 17:38:09
tec scam quickbooksupport net when the call is in hold we hear in hindi your call is on hold,3,3_microsoft popup_popup_appears working_appears,"['microsoft popup', 'popup', 'appears working', 'appears', 'techsupport center', 'working indian', 'indian techsupport center', 'working indian techsupport', 'appears working indian', 'indian techsupport']","['microsoft popup scam link appears to be a working number of an indian tech_support call center', 'microsoft popup scam link appears to be a working number of an indian tech_support call center microsoft popup scam', 'microsoft popup scam link appears to be a working number of an indian tech_support call center']",microsoft popup - popup - appears working - appears - techsupport center - working indian - indian techsupport center - working indian techsupport - appears working indian - indian techsupport,0.8153309870341886,False,65862,52763,2019-12-31 17:07:12
medicare scam medicare scam flood them they are stealing money,8,8_insurance_health_warranty_car,"['insurance', 'health', 'warranty', 'car', 'company', 'pills', 'health insurance', 'sell', 'keto', 'gohealth']","['high value insurance scam three automated messages from an issam hiring manager at family first life saying he got my application for a high value insurance policy on craigslist has been calling my desk phone at work and i don t use craigsli', 'health insurance scam', 'this is a shady car insurance company called protect my car offering free roadside assistance and 100 car maintenance coverage and insurance for 50 bucks a month plus a flexible down payment fee wh']",insurance - health - warranty - car - company - pills - health insurance - sell - keto - gohealth,1.0,False,65863,52762,2019-12-31 15:46:11
this jerk is saying he wants to give me a grant if i give him 200 he said his name was max i looked him up by his number and his real name is tahar el elotmani and has tons of battery charges blow him up and tell him to get a real job,-1,-1_student_loan_student loan_got,"['student', 'loan', 'student loan', 'got', 'fake', 'support', 'free', 'just', 'voicemail', 'apple']","['student loan scam so i got a voicemail from sarah the message is as follows hi my name is sarah i ve been trying to reach you regarding your federal student loans your loan has been flagged for forgiveness approval which could eli', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains']",student - loan - student loan - got - fake - support - free - just - voicemail - apple,0.8341318315439448,False,65864,52761,2019-12-31 14:39:48
adaross scam site list 12 31 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b,11,11_size_adaross_size adaross_adaross replying,"['size', 'adaross', 'size adaross', 'adaross replying', 'finds', 'automatically automated finds', 'automated finds popups', 'automated finds', 'adaross site list', 'automatically automated']","['adaross scam site list 12 03 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b', 'adaross scam site list 12 02 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b', 'adaross scam site list 12 06 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b']",size - adaross - size adaross - adaross replying - finds - automatically automated finds - automated finds popups - automated finds - adaross site list - automatically automated,1.0,False,65865,52760,2019-12-31 06:00:16
