Topic,Count,Name,Representation,Representative_Docs
-1,357,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']"
0,37,0_live_amazon live_amazon_jan,"['live', 'amazon live', 'amazon', 'jan', 'live jan', 'amazon live jan', 'page', 'live jan amazon', 'jan amazon', 'jan amazon live']","['amazon live scam 28 jan scam number scammer s website or email', 'amazon live scam 19 jan scam number scammer s website or email number website', 'amazon live scam 19 jan scam number 2 scammer s website or email']"
1,64,1_amazon_fake amazon_fake_amazon fake,"['amazon', 'fake amazon', 'fake', 'amazon fake', 'fake amazon fake', 'amazon fake amazon', 'ftc', 'advertiser', 'verified', 'fake amazon amazon']","['fake amazon scam scam number scammer s website or email additional information about this scam', 'fake amazon scam scam number scammer s website or email additional information about this scam', 'fake amazon scam scam number scammer s website or email additional information about this scam fake amazon scam on amazon']"
2,173,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']"
3,78,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']"
4,63,4_norton_nortonrefund_chase_norton norton,"['norton', 'nortonrefund', 'chase', 'norton norton', 'invoice', 'norton antivirus', 'antivirus', 'nortonrefund norton', 'lifelock', 'norton lifelock']","['norton scam scam number scammer s website or email email additional information about this scam 451 35', 'norton scam number scammer s website or email additional information about this scam', 'norton_refund scam number scammer s website or email email additional information about this scam norton 539 97']"
5,39,5_pch_pch pch_clearinghouse_pch pch pch,"['pch', 'pch pch', 'clearinghouse', 'pch pch pch', 'publishers clearinghouse', 'publishers', 'good day', 'publisher', 'publisher clearinghouse', 'jamaican']","['pch scam scam number scammer s website or email additional information about this scam pch scam', 'pch scam scam number scammer s website or email additional information about this scam pch scam', 'pch scam scam number scammer s website or email additional information about this scam pch scam']"
6,37,6_paypal_invoice_fake_fake paypal,"['paypal', 'invoice', 'fake', 'fake paypal', 'poster', 'did', 'receive', 'numberguru', 'did receive', 'fake invoice']","['fake paypal scam scam number scammer s website or email additional information about this scam', 'fake paypal scam scam number scammer s website or email additional information about this scam', 'fake paypal scam scam number scammer s website or email additional information about this scam']"
7,44,7_paypal_paypal paypal_paypal support_paypal support paypal,"['paypal', 'paypal paypal', 'paypal support', 'paypal support paypal', 'support paypal', 'paypal bc', 'bc', 'uk', 'btc', 'sent']","['paypal scam scam number scammer s website or email additional information about this scam', 'paypal scam number scammer s website or email additional information about this scam', 'paypal scam scam number scammer s website or email additional information about this scam paypal scam']"
8,37,8_carrier_amazon carrier_fake amazon carrier_fake amazon,"['carrier', 'amazon carrier', 'fake amazon carrier', 'fake amazon', 'reports carrier', 'reports', 'carrier fake amazon', 'carrier fake', 'amazon', 'fake']","['fake amazon scam scam number scammer s website or email additional information about this scam number carrier onvoy reports 1 carrier info', 'fake amazon scam scam number scammer s website or email additional information about this scam number carrier onvoy reports 0 carrier info', 'fake amazon scam scam number scammer s website or email additional information about this scam number carrier onvoy reports 0 carrier info']"
9,72,9_crypto_community_pharmacy_medicare,"['crypto', 'community', 'pharmacy', 'medicare', 'called', 'crypto community', 'ssa', 'facebook', 'community crypto', 'cvs']","['crypto scammer scam number scammer s website or email additional information about this scam community', '1 662 crypto scammer scam number scammer s website or email additional information about this scam community', 'crypto scammer scam number scammer s website or email additional information about this scam community']"
10,48,10_techsupport_crypto techsupport_crypto_techsupport active,"['techsupport', 'crypto techsupport', 'crypto', 'techsupport active', 'active', 'fraud', 'techsupport fraud', 'support', 'crypto techsupport active', 'techsupport active techsupport']","['fraud tech_support scam number scam number scammer s website or email additional information about this scam fraud multiple crypto tech_support scam number', 'fraud crypto tech_support scam still active scam number scammer s website or email additional information about this scam fraud crypto tech_support scam active number firefighter619 scammerjammer007', 'crypto tech_support scam scam number scammer s website or email additional information about this scam active tech_support scam numbers']"
